Villagio Realty,real_estate_agent,Москва,sale,flat,13,5,205.0,165000000.0,Раменки,проспект Генерала Дорохова,39к2В,Минская,Собрание клубных домов West Garden
Бест на Речном,real_estate_agent,Москва,sale,flat,16,5,111.9,27999999.0,Братеево,Братеевская ,18К5,Алма-Атинская,
Донстрой,developer,Москва,sale,flat,19,5,225.5,306003500.0,Замоскворечье,Большая Татарская ,35С7-9,Новокузнецкая,Татарская 35
Apple Real Estate,real_estate_agent,Москва,sale,flat,11,5,180.0,107000000.0,Щукино, Расплетина,14,Октябрьское поле,Новая звезда
Whitewill,real_estate_agent,Москва,sale,flat,6,5,168.0,69000000.0,Головинский,Михалковская ,46к3,Коптево,
Tekta Group,developer,Москва,sale,flat,22,5,106.9,45421810.0,Нагорный,,1,Нагорная,Твелв ЖК
Villagio Realty,real_estate_agent,Москва,sale,flat,22,5,138.0,90000000.0,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point
ИНКОМ-Недвижимость,real_estate_agent,Москва,sale,flat,17,5,112.5,28000000.0,Южное Медведково,Ясный проезд,14,Свиблово,
VESPER,developer,Москва,sale,flat,21,5,387.3,760463550.0,Пресненский, Костикова,4к2,Улица 1905 года,Lucky
Soul Estate,real_estate_agent,Москва,sale,flat,2,5,278.5,557000000.0,Якиманка,Софийская набережная,18,Боровицкая,"Золотой, жилой квартал"
ЛСР,developer,Москва,sale,flat,15,5,138.4,74411452.0,Даниловский, Родченко,2,ЗИЛ,ЗИЛАРТ
MR Group,developer,Москва,sale,flat,57,5,113.89,70019572.0,Филевский парк,,,Фили,Фили Сити ЖК
INGRAD,developer,Москва,sale,flat,6,5,202.78,97787564.0,Даниловский, Виктора Маслова,2,Автозаводская,RiverSky
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,35,5,298.9,220000000.0,Щукино,Авиационная ,79Б,Щукинская,Алые Паруса
ЛСР,developer,Москва,sale,flat,15,5,138.4,74411452.0,Даниловский, Родченко,2,ЗИЛ,ЗИЛАРТ
Метриум Премиум Городская недвижимость,real_estate_agent,Москва,sale,flat,6,5,222.8,245080000.0,Раменки,Минская ,2Вк3,Минская,Снегири Эко
Эталон,developer,Москва,sale,flat,27,5,157.4,85270869.0,Даниловский,1-я оч.,к13,Технопарк,Shagal
